001  00001 |Loss: 1.935 | Acc: 50.000% 
001  00002 |Loss: 2.650 | Acc: 51.562% 
001  00003 |Loss: 5.043 | Acc: 41.667% 
001  00004 |Loss: 4.665 | Acc: 40.430% 
001  00005 |Loss: 4.628 | Acc: 43.281% 
001  00006 |Loss: 4.449 | Acc: 43.359% 
001  00007 |Loss: 4.222 | Acc: 44.643% 
001  00008 |Loss: 3.947 | Acc: 46.387% 
001  00009 |Loss: 3.655 | Acc: 47.222% 
001  00010 |Loss: 3.530 | Acc: 47.266% 
001  00011 |Loss: 3.782 | Acc: 48.011% 
001  00012 |Loss: 3.886 | Acc: 47.917% 
001  00013 |Loss: 3.890 | Acc: 46.815% 
001  00014 |Loss: 3.726 | Acc: 45.536% 
001  00015 |Loss: 3.584 | Acc: 44.375% 
001  00016 |Loss: 3.448 | Acc: 44.434% 
001  00017 |Loss: 3.336 | Acc: 44.623% 
001  00018 |Loss: 3.247 | Acc: 44.878% 
001  00019 |Loss: 3.183 | Acc: 45.230% 
001  00020 |Loss: 3.121 | Acc: 45.508% 
001  00021 |Loss: 3.037 | Acc: 44.829% 
001  00022 |Loss: 2.974 | Acc: 45.028% 
001  00023 |Loss: 2.909 | Acc: 45.584% 
001  00024 |Loss: 2.885 | Acc: 45.866% 
001  00025 |Loss: 2.879 | Acc: 46.375% 
001  00026 |Loss: 2.817 | Acc: 46.815% 
001  00027 |Loss: 2.833 | Acc: 46.788% 
001  00028 |Loss: 2.793 | Acc: 46.791% 
001  00029 |Loss: 2.746 | Acc: 46.870% 
002  00030 |Loss: 1.514 | Acc: 53.906% 
002  00031 |Loss: 1.345 | Acc: 47.656% 
002  00032 |Loss: 1.532 | Acc: 51.302% 
002  00033 |Loss: 1.508 | Acc: 51.562% 
002  00034 |Loss: 1.459 | Acc: 51.719% 
002  00035 |Loss: 1.478 | Acc: 51.562% 
002  00036 |Loss: 1.449 | Acc: 52.009% 
002  00037 |Loss: 1.430 | Acc: 52.539% 
002  00038 |Loss: 1.394 | Acc: 52.517% 
002  00039 |Loss: 1.469 | Acc: 51.016% 
002  00040 |Loss: 1.447 | Acc: 51.562% 
002  00041 |Loss: 1.491 | Acc: 51.628% 
002  00042 |Loss: 1.498 | Acc: 50.962% 
002  00043 |Loss: 1.498 | Acc: 50.670% 
002  00044 |Loss: 1.531 | Acc: 50.781% 
002  00045 |Loss: 1.512 | Acc: 51.221% 
002  00046 |Loss: 1.570 | Acc: 50.781% 
002  00047 |Loss: 1.546 | Acc: 51.215% 
002  00048 |Loss: 1.529 | Acc: 51.316% 
002  00049 |Loss: 1.542 | Acc: 50.938% 
002  00050 |Loss: 1.531 | Acc: 50.930% 
002  00051 |Loss: 1.521 | Acc: 50.178% 
002  00052 |Loss: 1.512 | Acc: 49.898% 
002  00053 |Loss: 1.495 | Acc: 50.195% 
002  00054 |Loss: 1.510 | Acc: 50.281% 
002  00055 |Loss: 1.490 | Acc: 50.631% 
002  00056 |Loss: 1.479 | Acc: 50.868% 
002  00057 |Loss: 1.474 | Acc: 50.753% 
002  00058 |Loss: 1.473 | Acc: 50.693% 
003  00059 |Loss: 1.274 | Acc: 53.906% 
003  00060 |Loss: 1.316 | Acc: 47.656% 
003  00061 |Loss: 1.268 | Acc: 51.042% 
003  00062 |Loss: 1.239 | Acc: 49.219% 
003  00063 |Loss: 1.268 | Acc: 48.594% 
003  00064 |Loss: 1.239 | Acc: 49.089% 
003  00065 |Loss: 1.222 | Acc: 49.330% 
003  00066 |Loss: 1.190 | Acc: 50.391% 
003  00067 |Loss: 1.167 | Acc: 51.215% 
003  00068 |Loss: 1.164 | Acc: 50.859% 
003  00069 |Loss: 1.151 | Acc: 51.562% 
003  00070 |Loss: 1.146 | Acc: 52.018% 
003  00071 |Loss: 1.134 | Acc: 51.983% 
003  00072 |Loss: 1.124 | Acc: 52.679% 
003  00073 |Loss: 1.113 | Acc: 53.438% 
003  00074 |Loss: 1.110 | Acc: 53.564% 
003  00075 |Loss: 1.108 | Acc: 53.860% 
003  00076 |Loss: 1.154 | Acc: 54.167% 
003  00077 |Loss: 1.143 | Acc: 54.523% 
003  00078 |Loss: 1.137 | Acc: 55.000% 
003  00079 |Loss: 1.135 | Acc: 55.506% 
003  00080 |Loss: 1.129 | Acc: 55.717% 
003  00081 |Loss: 1.131 | Acc: 55.978% 
003  00082 |Loss: 1.127 | Acc: 56.087% 
003  00083 |Loss: 1.126 | Acc: 56.375% 
003  00084 |Loss: 1.179 | Acc: 56.490% 
003  00085 |Loss: 1.165 | Acc: 56.395% 
003  00086 |Loss: 1.207 | Acc: 56.417% 
003  00087 |Loss: 1.200 | Acc: 56.565% 
004  00088 |Loss: 1.066 | Acc: 57.031% 
004  00089 |Loss: 1.006 | Acc: 57.031% 
004  00090 |Loss: 1.009 | Acc: 60.677% 
004  00091 |Loss: 1.026 | Acc: 60.547% 
004  00092 |Loss: 1.034 | Acc: 59.062% 
